IMD Rank,IMD Decile,ITL1,ITL2
22043,7,London,Outer London - West and North West
21494,7,London,Outer London - West and North West
22508,7,London,Outer London - West and North West
13873,5,London,Outer London - West and North West
24222,8,London,Outer London - West and North West
24648,8,London,Outer London - West and North West
24705,8,London,Outer London - West and North West
7094,3,London,Outer London - West and North West
7824,3,London,Outer London - West and North West
27074,9,London,Outer London - West and North West
13592,5,London,Outer London - West and North West
19783,6,London,Outer London - West and North West
10799,4,London,Outer London - West and North West
21827,7,London,Outer London - West and North West
19496,6,London,Outer London - West and North West
10974,4,London,Outer London - West and North West
9746,3,London,Outer London - West and North West
6427,2,London,Outer London - West and North West
5694,2,London,Outer London - West and North West
13501,4,London,Outer London - West and North West
16832,5,London,Outer London - West and North West
17271,6,London,Outer London - West and North West
24629,8,London,Outer London - West and North West
20709,7,London,Outer London - West and North West
30556,10,London,Outer London - West and North West
23617,7,London,Outer London - West and North West
10536,4,London,Outer London - West and North West
21823,7,London,Outer London - West and North West
25607,8,London,Outer London - West and North West
27469,9,London,Outer London - West and North West
23375,7,London,Outer London - West and North West
25003,8,London,Outer London - West and North West
26229,8,London,Outer London - West and North West
22107,7,London,Outer London - West and North West
10442,4,London,Outer London - West and North West
19531,6,London,Outer London - West and North West
26870,8,London,Outer London - West and North West
23859,8,London,Outer London - West and North West
9962,3,London,Outer London - West and North West
14573,5,London,Outer London - West and North West
13780,5,London,Outer London - West and North West
10123,3,London,Outer London - West and North West
7512,3,London,Outer London - West and North West
8812,3,London,Outer London - West and North West
4126,2,London,Outer London - West and North West
9546,3,London,Outer London - West and North West
5458,2,London,Outer London - West and North West
8840,3,London,Outer London - West and North West
15941,5,London,Outer London - West and North West
6353,2,London,Outer London - West and North West
23509,7,London,Outer London - West and North West
17707,6,London,Outer London - West and North West
8616,3,London,Outer London - West and North West
16377,5,London,Outer London - West and North West
12266,4,London,Outer London - West and North West
16265,5,London,Outer London - West and North West
23211,7,London,Outer London - West and North West
19832,6,London,Outer London - West and North West
11785,4,London,Outer London - West and North West
11276,4,London,Outer London - West and North West
13294,4,London,Outer London - West and North West
13608,5,London,Outer London - West and North West
10513,4,London,Outer London - West and North West
10468,4,London,Outer London - West and North West
18025,6,London,Outer London - West and North West
19152,6,London,Outer London - West and North West
11123,4,London,Outer London - West and North West
11148,4,London,Outer London - West and North West
7294,3,London,Outer London - West and North West
26905,8,London,Outer London - West and North West
21123,7,London,Outer London - West and North West
23071,7,London,Outer London - West and North West
31123,10,London,Outer London - West and North West
19311,6,London,Outer London - West and North West
11137,4,London,Outer London - West and North West
18199,6,London,Outer London - West and North West
30230,9,London,Outer London - West and North West
28838,9,London,Outer London - West and North West
13313,4,London,Outer London - West and North West
19859,6,London,Outer London - West and North West
12991,4,London,Outer London - West and North West
22855,7,London,Outer London - West and North West
17181,6,London,Outer London - West and North West
12190,4,London,Outer London - West and North West
28126,9,London,Outer London - West and North West
32419,10,London,Outer London - West and North West
12189,4,London,Outer London - West and North West
13950,5,London,Outer London - West and North West
32599,10,London,Outer London - West and North West
23426,7,London,Outer London - West and North West
10060,3,London,Outer London - West and North West
22327,7,London,Outer London - West and North West
22955,7,London,Outer London - West and North West
28338,9,London,Outer London - West and North West
32104,10,London,Outer London - West and North West
15504,5,London,Outer London - West and North West
15706,5,London,Outer London - West and North West
27030,9,London,Outer London - West and North West
33689,10,London,Outer London - West and North West
16548,5,London,Outer London - West and North West
33094,10,London,Outer London - West and North West
31287,10,London,Outer London - West and North West
33002,10,London,Outer London - West and North West
22630,7,London,Outer London - West and North West
26269,8,London,Outer London - West and North West
